"";"VTI";"TLT";"BIL";"GLD";"SPY";"Date";"Date_aux";"carteraevol_sinreb_Activo1";"carteraevol_sinreb_Activo2";"carteraevol_sinreb_Activo3";"carteraevol_sinreb_Activo4";"carteraevol_sinreb_Activo5";"carteraevol_sinreb";"pond_sinreb_Activo1";"pond_sinreb_Activo2";"pond_sinreb_Activo3";"pond_sinreb_Activo4";"pond_sinreb_Activo5";"month";"Cantreb_Activo1";"Cantreb_Activo2";"Cantreb_Activo3";"Cantreb_Activo4";"Cantreb_Activo5";"carteraevol_conreb_Activo1";"carteraevol_conreb_Activo2";"carteraevol_conreb_Activo3";"carteraevol_conreb_Activo4";"carteraevol_conreb_Activo5";"carteraevol_conreb"
"2011-11-30";52,490105;91,339615;87,2267;170,130005;101,7966;2011-11-30;"2011-11";23,3926538175995;41,5455371572224;25,9720608778363;66,1778485068235;0;157,088100359482;0,14891423197599;0,264472847161238;0,165334362172575;0,421278558690197;0;11;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;34,1403391663761;44,2286718612151;34,1357907679673;41,8741966328231;0;154,378998428382
"2011-12-30";53,002983;94,486198;87,211487;151,990005;102,860207;2011-12-30;"2011-12";23,6212221830974;42,9767505572875;25,9675311528538;59,1216788916296;0;151,687182784868;0,155723257228651;0,283324864818932;0,171191333876129;0,389760544076288;0;12;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;37,9413662591834;37,9413662591834;37,9413662591834;37,9413662591834;0;151,765465036734
"2012-01-31";55,69022;94,174477;87,192467;169,309998;107,630302;2012-01-31;"2012-01";24,8188118024522;42,8349652389654;25,9618678800498;65,8588789104814;0;159,474523831949;0,155628693574942;0,268600678087643;0,162796334212027;0,412974294125388;0;1;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;39,8649833364001;37,8161932616237;37,9330916062555;42,2649676566535;0;157,879235860933
"2012-02-29";58,039501;91,728714;87,211487;164,289993;112,302071;2012-02-29;"2012-02";25,8657885069809;41,722517615946;25,9675311528538;63,9061773256345;0;157,462014601415;0,164266846022865;0,264968778162521;0,164912986910434;0,405851388904179;0;2;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;41,5466798338735;36,8340859091175;37,9413662591834;41,01182046235;0;157,333952464524
"2012-03-30";59,819973;87,843124;87,192467;162,119995;115,914085;2012-03-30;"2012-03";26,6592707285906;39,9551692017587;25,9618678800498;63,062082840925;0;155,638390651324;0,17128981234659;0,256717953935093;0,1668088944598;0,405183339258517;0;3;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;42,8212031992135;35,2738094196029;37,9330916062555;40,4701224151679;0;156,49822664024
"2012-04-30";59,439159;92,089676;87,211487;161,880005;115,140297;2012-04-30;"2012-04";26,4895577880108;41,8867000485449;25,9675311528538;62,9687305726807;0;157,31251956209;0,168388109616129;0,266264250074594;0,165069704719875;0,400277935589401;0;4;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;42,5486033825084;36,9790318561186;37,9413662591834;40,4102135514992;0;157,87921504931
"2012-05-31";55,73872;100,4011;87,211487;151,619995;108,225456;2012-05-31;"2012-05";24,8404262326415;45,6671251644317;25,9675311528538;58,9777509247433;0;155,45283347467;0,159793975300483;0,293768367830187;0,167044437675592;0,379393219193738;0;5;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;39,899701311869;40,3165222916991;37,9413662591834;37,8490004162481;0;156,006590279
"2012-06-29";57,993423;98,716156;87,173409;155,190002;112,617378;2012-06-29;"2012-06";25,8452534613259;44,9007336752642;25,9561932926103;60,366426499133;0;157,068606928333;0,16454754369292;0,285867014124288;0,165253858172012;0,384331584010781;0;6;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;41,5136956096745;39,6399252988747;37,9248004214238;38,7401836432955;0;157,818604973268
"2012-07-31";58,500957;102,484428;87,173409;156,490005;113,9496;2012-07-31;"2012-07";26,0714402285778;46,6147203654261;25,9561932926103;60,8721068557075;0;159,514460742322;0,163442487328427;0,292228805767818;0,162720001508451;0,381608705395304;0;7;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;41,877005980017;41,1530922072969;37,9248004214238;39,0647042587204;0;160,019602867458
"2012-08-31";60,081848;101,132774;87,173409;164,220001;116,804298;2012-08-31;"2012-08";26,7759775101542;45,9999247865231;25,9561932926103;63,8789515580653;0;162,611047147353;0,164662721136595;0,282883147199953;0,159621340296085;0,392832791367368;0;8;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;43,0086623708818;40,6103293429292;37,9248004214238;40,9943483127358;0;162,538140447971
